;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count all pure
1;Butan-1-ol;CCCCO;1327.0;49.0;85.0;11.0;0.0;1472.0
2;HEPTANE;CCCCCCC;1254.0;39.0;132.0;3.0;12.0;1440.0
3;ethanol;CCO;1169.0;86.0;91.0;8.0;0.0;1354.0
5;oxidane;O;634.0;54.0;183.0;31.0;0.0;902.0
6;methanol;CO;606.0;75.0;142.0;7.0;0.0;830.0
7;Propan-1-ol;CCCO;659.0;18.0;78.0;7.0;0.0;762.0
8;2-Methylpropan-1-ol;CC(C)CO;721.0;0.0;15.0;5.0;0.0;741.0
9;HEXAN-1-OL;CCCCCCO;664.0;8.0;64.0;2.0;0.0;738.0
10;Pentan-1-ol;CCCCCO;396.0;0.0;78.0;10.0;0.0;484.0
12;Cyclohexane;C1CCCCC1;368.0;21.0;55.0;0.0;0.0;444.0
13;Propan-2-ol;CC(C)O;357.0;6.0;53.0;5.0;0.0;421.0
18;Methoxymethane;COC;108.0;81.0;0.0;145.0;0.0;334.0
21;Hexane;CCCCCC;196.0;0.0;93.0;0.0;0.0;289.0
27;2-Methylbutan-2-ol;CCC(C)(C)O;37.0;88.0;43.0;0.0;0.0;168.0
30;hexan-2-ol;CCCCC(C)O;154.0;0.0;2.0;0.0;0.0;156.0
32;Methylcyclohexane;CC1CCCCC1;142.0;0.0;8.0;0.0;0.0;150.0
34;Oxolane;C1CCOC1;96.0;0.0;43.0;0.0;0.0;139.0
36;2-Methylbutan-1-ol;CCC(C)CO;11.0;73.0;43.0;0.0;0.0;127.0
40;Dimethoxymethane;COCOC;119.0;0.0;0.0;0.0;0.0;119.0
44;2-Methylheptane;CCCCCC(C)C;107.0;10.0;0.0;0.0;0.0;117.0
45;1,4-Dioxane;C1COCCO1;77.0;0.0;32.0;3.0;0.0;112.0
47;2,3-Dimethylbutane;CC(C)C(C)C;101.0;0.0;0.0;0.0;0.0;101.0
48;2,2-Dimethylbutane;CCC(C)(C)C;101.0;0.0;0.0;0.0;0.0;101.0
49;3-Methylpentane;CCC(C)CC;100.0;0.0;0.0;0.0;0.0;100.0
50;2-Methylpentane;CCCC(C)C;100.0;0.0;0.0;0.0;0.0;100.0
55;Butan-2-ol;CCC(C)O;75.0;0.0;13.0;0.0;0.0;88.0
56;2-Methylpropan-2-ol;CC(C)(C)O;65.0;0.0;16.0;0.0;0.0;81.0
59;pentan-2-ol;CCCC(C)O;26.0;47.0;6.0;0.0;0.0;79.0
61;2-propan-2-yloxypropane;CC(C)OC(C)C;47.0;0.0;22.0;0.0;0.0;69.0
63;2,2-dimethylpropan-1-ol;CC(C)(C)CO;0.0;61.0;0.0;0.0;5.0;66.0
64;['Oxane', '2,3,4,5-tetrahydropyran'];C1CCOCC1;35.0;11.0;19.0;0.0;0.0;65.0
65;Ethoxyethane;CCOCC;61.0;0.0;1.0;0.0;0.0;62.0
66;2-Methylpropane;CC(C)C;58.0;0.0;0.0;0.0;0.0;58.0
67;2,2,4-Trimethylpentane;CC(C)CC(C)(C)C;45.0;0.0;12.0;0.0;0.0;57.0
68;2-Ethoxy-2-methylpropane;CCOC(C)(C)C;32.0;0.0;24.0;0.0;0.0;56.0
69;BUTANE;CCCC;50.0;0.0;0.0;0.0;0.0;50.0
73;2-Methoxyethanol;COCCO;35.0;0.0;10.0;0.0;0.0;45.0
74;3-Methylbutan-1-ol;CC(C)CCO;37.0;0.0;4.0;0.0;0.0;41.0
76;2-Ethoxyethanol;CCOCCO;28.0;0.0;11.0;0.0;0.0;39.0
80;Cyclopentane;C1CCCC1;18.0;0.0;15.0;0.0;0.0;33.0
81;3-Methylbutan-2-ol;CC(C)C(C)O;0.0;30.0;0.0;0.0;0.0;30.0
85;ETHANE;CC;25.0;0.0;0.0;0.0;0.0;25.0
87;1,3-DIOXOLANE;C1COCO1;13.0;0.0;11.0;0.0;0.0;24.0
90;2-Methyloxolane;CC1CCCO1;10.0;8.0;4.0;0.0;0.0;22.0
91;1-Propoxypropan-2-ol;CCCOCC(C)O;10.0;0.0;10.0;0.0;0.0;20.0
95;;C1CCCCCCC1;12.0;0.0;4.0;0.0;0.0;16.0
96;Pentane;CCCCC;15.0;0.0;0.0;0.0;0.0;15.0
99;heptan-2-ol;CCCCCC(C)O;11.0;1.0;2.0;0.0;0.0;14.0
105;1-Ethoxypropan-2-ol;CCOCC(C)O;5.0;0.0;5.0;0.0;0.0;10.0
109;1-propoxypropane;CCCOCCC;9.0;0.0;0.0;0.0;0.0;9.0
115;1-ethoxybutane;CCCCOCC;8.0;0.0;0.0;0.0;0.0;8.0
118;2-Propoxyethanol;CCCOCCO;4.0;0.0;0.0;3.0;0.0;7.0
119;Methylcyclopentane;CC1CCCC1;3.0;0.0;3.0;0.0;0.0;6.0
135;2-Methoxy-2-methylbutane;CCC(C)(C)OC;3.0;0.0;1.0;0.0;0.0;4.0
138;1,1-Diethoxyethane;CCOC(C)OCC;3.0;0.0;0.0;0.0;0.0;3.0
141;2-Methylpentan-1-ol;CCCC(C)CO;3.0;0.0;0.0;0.0;0.0;3.0
142;4-Methylpentan-2-ol;CC(C)CC(C)O;3.0;0.0;0.0;0.0;0.0;3.0
143;2-Methylpentan-2-ol;CCCC(C)(C)O;3.0;0.0;0.0;0.0;0.0;3.0
146;2-propan-2-yloxyethanol;CC(C)OCCO;1.0;0.0;1.0;0.0;0.0;2.0
